linegroup,carbon_source,cs_conc,base_media
240623_growth_phenotyping_at_E4,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_at_E5,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_at_E6,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_at_E1,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_at_E2,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_at_E3,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_at_G4,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_at_G5,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_at_G6,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_at_D7,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_at_D8,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_at_D9,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_at_E10,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_at_E11,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_at_E12,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_at_B4,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_at_B5,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_at_B6,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_at_D1,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_at_D2,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_at_D3,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_at_H7,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_at_H8,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_at_H9,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_at_C4,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_at_C5,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_at_C6,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_at_H1,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_at_H2,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_at_H3,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_at_D4,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_at_D5,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_at_D6,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_at_B7,Formate,90.0,M9 + HMB
240623_growth_phenotyping_at_B8,Formate,90.0,M9 + HMB
240623_growth_phenotyping_at_B9,Formate,90.0,M9 + HMB
240623_growth_phenotyping_at_A10,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_at_A11,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_at_A12,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_at_G1,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_at_G2,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_at_G3,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_at_F1,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_at_F2,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_at_F3,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_at_B1,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_at_B2,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_at_B3,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_at_B10,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_at_B11,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_at_B12,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_at_F10,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_at_F11,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_at_F12,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_at_F4,Malate,22.2,M9 + HMB
240623_growth_phenotyping_at_F5,Malate,22.2,M9 + HMB
240623_growth_phenotyping_at_F6,Malate,22.2,M9 + HMB
240623_growth_phenotyping_at_G7,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_at_G8,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_at_G9,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_at_A1,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_at_A2,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_at_A3,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_at_F7,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_at_F8,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_at_F9,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_at_C10,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_at_C11,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_at_C12,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_at_C1,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_at_C2,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_at_C3,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_at_H4,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_at_H5,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_at_H6,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_at_G10,Proline,18.0,M9 + HMB
240623_growth_phenotyping_at_G11,Proline,18.0,M9 + HMB
240623_growth_phenotyping_at_G12,Proline,18.0,M9 + HMB
240623_growth_phenotyping_at_A7,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_at_A8,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_at_A9,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_at_A4,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_at_A5,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_at_A6,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_at_E7,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_at_E8,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_at_E9,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_at_C7,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_at_C8,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_at_C9,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_at_D10,L-glutamate,18.0,M9 + HMB
240623_growth_phenotyping_at_D11,L-glutamate,18.0,M9 + HMB
240623_growth_phenotyping_at_D12,L-glutamate,18.0,M9 + HMB
240623_growth_phenotyping_ml_E4,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_ml_E5,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_ml_E6,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_ml_E1,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_ml_E2,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_ml_E3,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_ml_G4,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_ml_G5,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_ml_G6,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_ml_D7,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_ml_D8,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_ml_D9,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_ml_E10,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_ml_E11,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_ml_E12,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_ml_B4,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_ml_B5,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_ml_B6,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_ml_D1,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_ml_D2,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_ml_D3,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_ml_H7,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_ml_H8,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_ml_H9,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_ml_C4,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_ml_C5,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_ml_C6,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_ml_H1,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_ml_H2,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_ml_H3,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_ml_D4,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_ml_D5,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_ml_D6,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_ml_B7,Formate,90.0,M9 + HMB
240623_growth_phenotyping_ml_B8,Formate,90.0,M9 + HMB
240623_growth_phenotyping_ml_B9,Formate,90.0,M9 + HMB
240623_growth_phenotyping_ml_A10,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_ml_A11,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_ml_A12,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_ml_G1,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_ml_G2,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_ml_G3,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_ml_F1,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_ml_F2,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_ml_F3,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_ml_B1,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_ml_B2,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_ml_B3,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_ml_B10,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_ml_B11,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_ml_B12,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_ml_F10,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_ml_F11,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_ml_F12,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_ml_F4,Malate,22.2,M9 + HMB
240623_growth_phenotyping_ml_F5,Malate,22.2,M9 + HMB
240623_growth_phenotyping_ml_F6,Malate,22.2,M9 + HMB
240623_growth_phenotyping_ml_G7,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_ml_G8,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_ml_G9,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_ml_A1,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_ml_A2,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_ml_A3,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_ml_F7,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_ml_F8,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_ml_F9,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_ml_C10,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_ml_C11,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_ml_C12,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_ml_C1,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_ml_C2,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_ml_C3,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_ml_H4,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_ml_H5,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_ml_H6,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_ml_G10,Proline,18.0,M9 + HMB
240623_growth_phenotyping_ml_G11,Proline,18.0,M9 + HMB
240623_growth_phenotyping_ml_G12,Proline,18.0,M9 + HMB
240623_growth_phenotyping_ml_A7,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_ml_A8,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_ml_A9,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_ml_A4,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_ml_A5,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_ml_A6,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_ml_E7,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_ml_E8,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_ml_E9,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_ml_C7,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_ml_C8,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_ml_C9,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_ml_D10,L-glutamate,18.0,M9 + HMB
240623_growth_phenotyping_ml_D11,L-glutamate,18.0,M9 + HMB
240623_growth_phenotyping_ml_D12,L-glutamate,18.0,M9 + HMB
240623_growth_phenotyping_ct_E4,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_ct_E5,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_ct_E6,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_ct_E1,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_ct_E2,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_ct_E3,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_ct_G4,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_ct_G5,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_ct_G6,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_ct_D7,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_ct_D8,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_ct_D9,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_ct_E10,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_ct_E11,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_ct_E12,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_ct_B4,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_ct_B5,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_ct_B6,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_ct_D1,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_ct_D2,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_ct_D3,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_ct_H7,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_ct_H8,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_ct_H9,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_ct_C4,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_ct_C5,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_ct_C6,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_ct_H1,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_ct_H2,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_ct_H3,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_ct_D4,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_ct_D5,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_ct_D6,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_ct_B7,Formate,90.0,M9 + HMB
240623_growth_phenotyping_ct_B8,Formate,90.0,M9 + HMB
240623_growth_phenotyping_ct_B9,Formate,90.0,M9 + HMB
240623_growth_phenotyping_ct_A10,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_ct_A11,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_ct_A12,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_ct_G1,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_ct_G2,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_ct_G3,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_ct_F1,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_ct_F2,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_ct_F3,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_ct_B1,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_ct_B2,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_ct_B3,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_ct_B10,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_ct_B11,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_ct_B12,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_ct_F10,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_ct_F11,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_ct_F12,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_ct_F4,Malate,22.2,M9 + HMB
240623_growth_phenotyping_ct_F5,Malate,22.2,M9 + HMB
240623_growth_phenotyping_ct_F6,Malate,22.2,M9 + HMB
240623_growth_phenotyping_ct_G7,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_ct_G8,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_ct_G9,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_ct_A1,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_ct_A2,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_ct_A3,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_ct_F7,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_ct_F8,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_ct_F9,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_ct_C10,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_ct_C11,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_ct_C12,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_ct_C1,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_ct_C2,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_ct_C3,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_ct_H4,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_ct_H5,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_ct_H6,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_ct_G10,Proline,18.0,M9 + HMB
240623_growth_phenotyping_ct_G11,Proline,18.0,M9 + HMB
240623_growth_phenotyping_ct_G12,Proline,18.0,M9 + HMB
240623_growth_phenotyping_ct_A7,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_ct_A8,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_ct_A9,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_ct_A4,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_ct_A5,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_ct_A6,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_ct_E7,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_ct_E8,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_ct_E9,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_ct_C7,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_ct_C8,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_ct_C9,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_ct_D10,L-glutamate,18.0,M9 + HMB
240623_growth_phenotyping_ct_D11,L-glutamate,18.0,M9 + HMB
240623_growth_phenotyping_ct_D12,L-glutamate,18.0,M9 + HMB
240623_growth_phenotyping_oa_E4,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_oa_E5,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_oa_E6,L-histidine,15.0,M9 + HMB
240623_growth_phenotyping_oa_E1,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_oa_E2,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_oa_E3,L-glutamine,18.0,M9 + HMB
240623_growth_phenotyping_oa_G4,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_oa_G5,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_oa_G6,Orotate,18.0,M9 + HMB
240623_growth_phenotyping_oa_D7,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_oa_D8,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_oa_D9,L-aspartate,22.5,M9 + HMB
240623_growth_phenotyping_oa_E10,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_oa_E11,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_oa_E12,L-lactate,30.0,M9 + HMB
240623_growth_phenotyping_oa_B4,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_oa_B5,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_oa_B6,D-xylose,18.0,M9 + HMB
240623_growth_phenotyping_oa_D1,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_oa_D2,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_oa_D3,L-alanine,30.0,M9 + HMB
240623_growth_phenotyping_oa_H7,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_oa_H8,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_oa_H9,Uridine,10.0,M9 + HMB
240623_growth_phenotyping_oa_C4,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_oa_C5,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_oa_C6,Glycerol,30.0,M9 + HMB
240623_growth_phenotyping_oa_H1,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_oa_H2,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_oa_H3,Ribose,18.0,M9 + HMB
240623_growth_phenotyping_oa_D4,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_oa_D5,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_oa_D6,L-arginine,15.0,M9 + HMB
240623_growth_phenotyping_oa_B7,Formate,90.0,M9 + HMB
240623_growth_phenotyping_oa_B8,Formate,90.0,M9 + HMB
240623_growth_phenotyping_oa_B9,Formate,90.0,M9 + HMB
240623_growth_phenotyping_oa_A10,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_oa_A11,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_oa_A12,D-arabinose,18.0,M9 + HMB
240623_growth_phenotyping_oa_G1,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_oa_G2,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_oa_G3,Myo-inositol,15.0,M9 + HMB
240623_growth_phenotyping_oa_F1,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_oa_F2,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_oa_F3,L-leucine,15.0,M9 + HMB
240623_growth_phenotyping_oa_B1,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_oa_B2,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_oa_B3,D-glucose,15.0,M9 + HMB
240623_growth_phenotyping_oa_B10,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_oa_B11,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_oa_B12,Fumarate,22.5,M9 + HMB
240623_growth_phenotyping_oa_F10,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_oa_F11,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_oa_F12,Mannose,15.0,M9 + HMB
240623_growth_phenotyping_oa_F4,Malate,22.2,M9 + HMB
240623_growth_phenotyping_oa_F5,Malate,22.2,M9 + HMB
240623_growth_phenotyping_oa_F6,Malate,22.2,M9 + HMB
240623_growth_phenotyping_oa_G7,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_oa_G8,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_oa_G9,Phenylalanine,10.0,M9 + HMB
240623_growth_phenotyping_oa_A1,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_oa_A2,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_oa_A3,Acetate,45.0,M9 + HMB
240623_growth_phenotyping_oa_F7,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_oa_F8,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_oa_F9,Mannitol,15.0,M9 + HMB
240623_growth_phenotyping_oa_C10,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_oa_C11,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_oa_C12,Inosine,9.0,M9 + HMB
240623_growth_phenotyping_oa_C1,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_oa_C2,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_oa_C3,Glutarate,18.0,M9 + HMB
240623_growth_phenotyping_oa_H4,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_oa_H5,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_oa_H6,Sucrose,7.5,M9 + HMB
240623_growth_phenotyping_oa_G10,Proline,18.0,M9 + HMB
240623_growth_phenotyping_oa_G11,Proline,18.0,M9 + HMB
240623_growth_phenotyping_oa_G12,Proline,18.0,M9 + HMB
240623_growth_phenotyping_oa_A7,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_oa_A8,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_oa_A9,Cysteine,30.0,M9 + HMB
240623_growth_phenotyping_oa_A4,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_oa_A5,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_oa_A6,Adenosine,9.0,M9 + HMB
240623_growth_phenotyping_oa_E7,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_oa_E8,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_oa_E9,L-isoleucine,15.0,M9 + HMB
240623_growth_phenotyping_oa_C7,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_oa_C8,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_oa_C9,Glycine,45.0,M9 + HMB
240623_growth_phenotyping_oa_D10,L-glutamate,18.0,M9 + HMB
240623_growth_phenotyping_oa_D11,L-glutamate,18.0,M9 + HMB
240623_growth_phenotyping_oa_D12,L-glutamate,18.0,M9 + HMB
